dit,ca,moa,max_cc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob
1.0,1.0,1.0,1.0,False,False,0.266411066578,False,0.467034632035,False,0.498082125971
1.0,2.118203,0.0,3.32148,True,False,0.343240649973,True,0.566666666667,True,0.54673919897
1.0,3.0,4.0,4.0,False,True,0.531653537819,False,0.2,False,0.330824198927
3.0,1.0,2.0,8.0,True,True,0.562201814784,True,0.65,True,0.717383481844
2.0,4.0,1.0,1.0,False,False,0.214309674864,False,0.0,False,0.0732446109486
2.0,2.0,4.0,1.0,True,True,0.827989996867,False,0.3,False,0.295570090811
2.0,0.0,0.0,0.0,False,False,0.0881335029812,False,0.1,False,0.0259236687224
5.0,1.0,0.0,0.0,False,False,0.19705620853,False,0.0,False,0.0591472794354
5.0,1.0,0.0,0.0,False,False,0.19705620853,False,0.0,False,0.0591472794354
2.0,0.0,0.0,0.0,False,False,0.0881335029812,False,0.1,False,0.0259236687224
1.0,5.0,2.0,3.0,False,True,0.573426642249,False,0.25,False,0.29447664373
2.0,1.0,2.0,2.0,True,False,0.345943329047,False,0.3,True,0.687979810948
3.0,1.0,0.0,2.0,False,False,0.240037457511,False,0.14,False,0.486504138229
3.0,0.0,0.0,5.0,False,True,0.659771856767,False,0.2,False,0.381929888595
2.0,12.0,0.0,4.0,False,False,0.240825130581,False,0.266666666667,False,0.195758991287
2.887381,0.143709,0.0,2.127529,True,False,0.487296251976,True,0.6,False,0.448004260998
2.0,1.0,0.0,2.0,True,False,0.195173658344,False,0.173611111111,False,0.487762334624
3.0,2.0,0.0,7.0,True,True,0.826920903779,False,0.285,False,0.424979916373
3.280251,1.0,1.0,1.0,True,False,0.305078289822,False,0.211886495857,True,0.523134692563
3.0,4.0,3.0,6.0,False,True,0.58499403795,False,0.5,True,0.542499393482
4.0,2.0,0.0,2.0,False,False,0.40034677788,False,0.27,False,0.45757704268
